Seasons,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
1950-1953,8,6,4,3,2,,,,,
1954,8,6,4,3,2,,,,,
1955,8,6,4,3,2,,,,,
1956-1957,8,6,4,3,2,,,,,
1958,8,6,4,3,2,,,,,
1959,8,6,4,3,2,,,,,
1960,8,6,4,3,2,1,,,,
1961,9,6,4,3,2,1,,,,
1962,9,6,4,3,2,1,,,,
1963-1965,9,6,4,3,2,1,,,,
1966,9,6,4,3,2,1,,,,
1967,9,6,4,3,2,1,,,,
1968,9,6,4,3,2,1,,,,
1969,9,6,4,3,2,1,,,,
1970,9,6,4,3,2,1,,,,
1971,9,6,4,3,2,1,,,,
1972,9,6,4,3,2,1,,,,
1973-1974,9,6,4,3,2,1,,,,
1975,9,6,4,3,2,1,,,,
1976,9,6,4,3,2,1,,,,
1977,9,6,4,3,2,1,,,,
1978,9,6,4,3,2,1,,,,
1979,9,6,4,3,2,1,,,,
1980,9,6,4,3,2,1,,,,
1981-1990,9,6,4,3,2,1,,,,
1991-2002,10,6,4,3,2,1,,,,
2003-2009,10,8,6,5,4,3,2,1,,
2010-2018,25,18,15,12,10,8,6,4,2,1
2019-2020,25,18,15,12,10,8,6,4,2,1
