Seasons,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,,,
1950,8,6,4,3,2,0,0,0,0,0,,,
1951,8,6,4,3,2,0,0,0,0,0,,,
1952,8,6,4,3,2,0,0,0,0,0,,,
1953,8,6,4,3,2,0,0,0,0,0,,,
1954,8,6,4,3,2,0,0,0,0,0,,,
1955,8,6,4,3,2,0,0,0,0,0,,,
1956,8,6,4,3,2,0,0,0,0,0,,,
1957,8,6,4,3,2,0,0,0,0,0,,,
1958,8,6,4,3,2,0,0,0,0,0,,,
1959,8,6,4,3,2,0,0,0,0,0,,,
1960,8,6,4,3,2,1,0,0,0,0,,,
1961,9,6,4,3,2,1,0,0,0,0,,,
1962,9,6,4,3,2,1,0,0,0,0,,,
1963,9,6,4,3,2,1,0,0,0,0,,,
1964,9,6,4,3,2,1,0,0,0,0,,,
1965,9,6,4,3,2,1,0,0,0,0,,,
1966,9,6,4,3,2,1,0,0,0,0,,,
1967,9,6,4,3,2,1,0,0,0,0,,,
1968,9,6,4,3,2,1,0,0,0,0,,,
1969,9,6,4,3,2,1,0,0,0,0,,,
1970,9,6,4,3,2,1,0,0,0,0,,,
1971,9,6,4,3,2,1,0,0,0,0,,,
1972,9,6,4,3,2,1,0,0,0,0,,,
1973,9,6,4,3,2,1,0,0,0,0,,,
1974,9,6,4,3,2,1,0,0,0,0,,,
1975,9,6,4,3,2,1,0,0,0,0,,,
1976,9,6,4,3,2,1,0,0,0,0,,,
1977,9,6,4,3,2,1,0,0,0,0,,,
1978,9,6,4,3,2,1,0,0,0,0,,,
1979,9,6,4,3,2,1,0,0,0,0,,,
1980,9,6,4,3,2,1,0,0,0,0,,,
1981,9,6,4,3,2,1,0,0,0,0,,,
1982,9,6,4,3,2,1,0,0,0,0,,,
1983,9,6,4,3,2,1,0,0,0,0,,,
1984,9,6,4,3,2,1,0,0,0,0,,,
1985,9,6,4,3,2,1,0,0,0,0,,,
1986,9,6,4,3,2,1,0,0,0,0,,,
1987,9,6,4,3,2,1,0,0,0,0,,,
1988,9,6,4,3,2,1,0,0,0,0,,,
1989,9,6,4,3,2,1,0,0,0,0,,,
1990,9,6,4,3,2,1,0,0,0,0,,,
1991,10,6,4,3,2,1,0,0,0,0,,,
1992,10,6,4,3,2,1,0,0,0,0,,,
1993,10,6,4,3,2,1,0,0,0,0,,,
1994,10,6,4,3,2,1,0,0,0,0,,,
1995,10,6,4,3,2,1,0,0,0,0,,,
1996,10,6,4,3,2,1,0,0,0,0,,,
1997,10,6,4,3,2,1,0,0,0,0,,,
1998,10,6,4,3,2,1,0,0,0,0,,,
1999,10,6,4,3,2,1,0,0,0,0,,,
2000,10,6,4,3,2,1,0,0,0,0,,,
2001,10,6,4,3,2,1,0,0,0,0,,,
2002,10,6,4,3,2,1,0,0,0,0,,,
2003,10,8,6,5,4,3,2,1,0,0,,,
2004,10,8,6,5,4,3,2,1,0,0,,,
2005,10,8,6,5,4,3,2,1,0,0,,,
2006,10,8,6,5,4,3,2,1,0,0,,,
2007,10,8,6,5,4,3,2,1,0,0,,,
2008,10,8,6,5,4,3,2,1,0,0,,,
2009,10,8,6,5,4,3,2,1,0,0,,,
2010,25,18,15,12,10,8,6,4,2,1,,,
2011,25,18,15,12,10,8,6,4,2,1,,,
2012,25,18,15,12,10,8,6,4,2,1,,,
2013,25,18,15,12,10,8,6,4,2,1,,,
2014,25,18,15,12,10,8,6,4,2,1,,,
2015,25,18,15,12,10,8,6,4,2,1,,,
2016,25,18,15,12,10,8,6,4,2,1,,,
2017,25,18,15,12,10,8,6,4,2,1,,,
2018,25,18,15,12,10,8,6,4,2,1,,,
2019,25,18,15,12,10,8,6,4,2,1,,,
2020,25,18,15,12,10,8,6,4,2,1,,,
